day,date,content_type,template,example,tips,engagement_potential
1,2025-07-03,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
2,2025-07-04,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
3,2025-07-05,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
4,2025-07-06,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
5,2025-07-07,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
6,2025-07-08,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
7,2025-07-09,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
8,2025-07-10,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
9,2025-07-11,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
10,2025-07-12,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
11,2025-07-13,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
12,2025-07-14,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
13,2025-07-15,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
14,2025-07-16,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
15,2025-07-17,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
16,2025-07-18,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
17,2025-07-19,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
18,2025-07-20,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
19,2025-07-21,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
20,2025-07-22,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
21,2025-07-23,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
22,2025-07-24,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
23,2025-07-25,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
24,2025-07-26,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
25,2025-07-27,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
26,2025-07-28,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
27,2025-07-29,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
28,2025-07-30,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
29,2025-07-31,对比测评类,A vs B + 对比维度 + 结论建议,普拉提 vs 瑜伽，哪个更适合减肥？,选择用户关心的对比点，给出明确建议,高
30,2025-08-01,体验分享类,亲测/体验 + 产品/方法 + 真实感受,亲测这家普拉提馆，效果超出预期,强调真实性和个人体验，增加可信度,高
